,0
2014-11-26,173706208.49173057
2014-11-28,173400164.94173056
2014-12-01,172239865.5517306
2014-12-02,173381637.01673058
2014-12-03,173970083.28923059
2014-12-04,173754683.78923059
2014-12-05,174086535.47423056
2014-12-08,172857295.75173056
2014-12-09,172665679.6317306
2014-12-10,169899124.30673054
2014-12-11,170729417.77173057
2014-12-12,167985099.65673056
2014-12-15,166857895.36673057
2014-12-16,165413113.21673054
2014-12-17,168723781.19673055
2014-12-18,172982852.61673054
2014-12-19,173655201.17173055
2014-12-22,174399695.77673057
2014-12-23,174734798.23173058
2014-12-24,174664363.55673054
2014-12-26,175220737.06173053
2014-12-29,175312469.94923058
2014-12-30,174496651.26423058
2014-12-31,172667632.69923058
2015-01-02,172641609.2742306
2015-01-05,169625233.16423056
2015-01-06,168190707.72923058
2015-01-07,170219498.48423058
2015-01-08,173275202.2442306
2015-01-09,171801678.3792306
2015-01-12,170434422.7542306
2015-01-13,170032162.6142306
2015-01-14,168987489.8017306
2015-01-15,167433492.9667306
2015-01-16,169614390.4667306
2015-01-20,170042829.2637306
2015-01-21,170772095.4861306
2015-01-22,173522822.03113058
2015-01-23,172627851.6111306
2015-01-26,172979671.0011306
2015-01-27,170453338.0811306
2015-01-28,168230373.32113057
2015-01-29,169888898.97613057
2015-01-30,167705882.1311306
2015-02-02,169865910.9261306
2015-02-03,172233937.7761306
2015-02-04,171675039.99613056
2015-02-05,173499944.4261306
2015-02-06,173016867.3360306
2015-02-09,172211648.7160306
2015-02-10,174110643.3060306
2015-02-11,174214703.51103058
2015-02-12,175871801.5710306
2015-02-13,176579645.37353057
2015-02-17,176835488.5835306
2015-02-18,176775092.62353057
2015-02-19,176575292.19853058
2015-02-20,177660561.6185306
2015-02-23,177643410.6535306
2015-02-24,178140782.7235306
2015-02-25,178024602.97603062
2015-02-26,177967131.68103057
2015-02-27,177365772.3760306
2015-03-02,178522213.67103058
2015-03-03,177763090.67103058
2015-03-04,177022195.57303056
2015-03-05,177236591.01803058
2015-03-06,174697890.22053057
2015-03-09,175448924.0555306
2015-03-10,172387282.4505306
2015-03-11,172042692.6605306
2015-03-12,174308733.13553056
2015-03-13,173311748.62053058
2015-03-16,175711177.45553055
2015-03-17,175179021.8305306
2015-03-18,177224369.9805306
2015-03-19,176431230.61303058
2015-03-20,177949936.81803057
2015-03-23,177698621.80803058
2015-03-24,176696501.4380306
2015-03-25,173909440.81803057
2015-03-26,173530868.08303058
2015-03-27,173829317.33803058
2015-03-30,175999563.7805306
2015-03-31,174488153.77053058
2015-04-01,173722416.0255306
2015-04-02,174214486.12053058
2015-04-06,175382020.38553056
2015-04-07,175069607.5015306
2015-04-08,175591103.33653057
2015-04-09,176392631.31153056
2015-04-10,177372574.7765306
2015-04-13,176583789.9865306
2015-04-14,176812796.17403054
2015-04-15,177656130.65403056
2015-04-16,177643040.3890306
2015-04-17,175614823.5040306
2015-04-20,177329056.0790306
2015-04-21,177141689.0590306
2015-04-22,178093721.16403058
2015-04-23,178481262.59333056
2015-04-24,179076264.54833055
2015-04-27,178437975.70452857
2015-04-28,178882459.96832916
2015-04-29,178217014.04754966
2015-04-30,176356034.6768211
2015-05-01,178246059.5523073
2015-05-04,178765721.60266492
2015-05-05,176733975.43632162
2015-05-06,176023110.72685874
2015-05-07,176799334.34891334
2015-05-08,179210090.46111372
2015-05-11,178275496.9514258
2015-05-12,177793839.04403636
2015-05-13,177821008.4390042
2015-05-14,179853014.83894855
2015-05-15,179946442.99687317
2015-05-18,180484691.9070453
2015-05-19,180376623.87340277
2015-05-20,180110035.30890036
2015-05-21,180536282.59492764
2015-05-22,180083772.09712964
2015-05-26,178233167.83402696
2015-05-27,179906042.98292324
2015-05-28,179772074.6281824
2015-05-29,178693963.87696964
2015-06-01,179127073.31324473
2015-06-02,178904427.83373293
2015-06-03,179369815.21194616
2015-06-04,177895944.2805083
2015-06-05,177594325.35785028
2015-06-08,176414343.36581406
2015-06-09,176568950.9344425
2015-06-10,178736644.97526753
2015-06-11,179115424.6991759
2015-06-12,177855606.3332678
2015-06-15,176981361.01622456
2015-06-16,177993599.15160292
2015-06-17,178321950.56283453
2015-06-18,180087425.6842308
2015-06-19,179058995.9202675
2015-06-22,180129713.42639124
2015-06-23,180305837.68704018
2015-06-24,179053034.78046238
2015-06-25,178500169.503107
2015-06-26,178484284.022355
2015-06-29,174841539.66493598
2015-06-30,175300520.67111266
2015-07-01,176304216.11111265
2015-07-02,176276986.36611265
2015-07-06,175728095.51611266
2015-07-07,176778092.72611263
2015-07-08,173930675.44111264
2015-07-09,174315942.15611267
2015-07-10,176507755.68111262
2015-07-13,178507522.80211267
2015-07-14,179384551.24211267
2015-07-15,179277867.35961264
2015-07-16,180801342.67961264
2015-07-17,181309648.40961266
2015-07-20,181020780.87961265
2015-07-21,180209640.49961266
2015-07-22,179720110.99251264
2015-07-23,178602424.18251267
2015-07-24,176732796.69751263
2015-07-27,175638890.73751262
2015-07-28,177717087.41751266
2015-07-29,179071917.20751262
2015-07-30,179167986.42751265
2015-07-31,178690436.11751264
2015-08-03,178269791.48751265
2015-08-04,177823195.86751264
2015-08-05,178554183.13751262
2015-08-06,177278799.5225126
2015-08-07,176684271.47331265
2015-08-10,178803202.49831262
2015-08-11,177155925.78031266
2015-08-12,177386849.19531265
2015-08-13,177248061.57031265
2015-08-14,177943552.86531264
2015-08-17,178847149.04531264
2015-08-18,178368914.97281265
2015-08-19,176900337.21281266
2015-08-20,173201335.66281265
2015-08-21,167527185.59681264
2015-08-24,160885667.42681268
2015-08-25,158679186.01181266
2015-08-26,165063763.91681266
2015-08-27,169015213.64681268
2015-08-28,169119683.86681265
2015-08-31,167735399.36181262
2015-09-01,162764518.52681264
2015-09-02,165862331.58181265
2015-09-03,165969324.23681268
2015-09-04,163426966.14681268
2015-09-08,167609283.68931264
2015-09-09,165323216.45931268
2015-09-10,166267621.34431264
2015-09-11,167140321.52931264
2015-09-14,166495200.56931266
2015-09-15,168641169.33931264
2015-09-16,170115437.21931264
2015-09-17,169711153.77681264
2015-09-18,166987811.20181265
2015-09-21,167873669.21181265
2015-09-22,165827390.40181267
2015-09-23,165576442.24681264
2015-09-24,165055642.01181263
2015-09-25,165027590.36681265
2015-09-28,160963154.78681263
2015-09-29,161203418.62181264
2015-09-30,164182665.35681266
2015-10-01,164443760.87681264
2015-10-02,166729518.51681262
2015-10-05,169913605.40681267
2015-10-06,169262563.51681265
2015-10-07,170634334.80181265
2015-10-08,171955690.82181263
2015-10-09,172156664.17681262
2015-10-12,172437914.06681263
2015-10-13,171390966.77681264
2015-10-14,170358920.38181263
2015-10-15,172871922.54181266
2015-10-16,173739760.72181264
2015-10-19,173822557.03181264
2015-10-20,173508728.73181266
2015-10-21,172659910.15291262
2015-10-22,175683510.03291264
2015-10-23,177823077.39291266
2015-10-26,177495898.27291265
2015-10-27,177018487.72291264
2015-10-28,179014525.95791265
2015-10-29,178827463.69291264
2015-10-30,177809985.38291264
2015-11-02,179590491.08291262
2015-11-03,180211894.86291263
2015-11-04,179824668.23291266
2015-11-05,179794533.12791264
2015-11-06,179944426.32811266
2015-11-09,178169017.65811265
2015-11-10,178405745.12811264
2015-11-11,177889088.95811266
2015-11-12,175521397.54811263
2015-11-13,173494446.71811262
2015-11-16,176093692.86311263
2015-11-17,175957937.38311264
2015-11-18,178810516.27811262
2015-11-19,178712108.02311262
2015-11-20,179388302.03811264
2015-11-23,179153995.72061267
2015-11-24,179267621.63561264
2015-11-25,179167446.51561263
2015-11-27,179332723.84561262
2015-11-30,178469390.16561264
2015-12-01,180412571.85561264
2015-12-02,178492552.23061264
2015-12-03,175979853.41561264
2015-12-04,179674455.79561263
2015-12-07,178434075.23011264
2015-12-08,177269218.33511263
2015-12-09,175821956.02511263
2015-12-10,176289050.22261262
2015-12-11,172883289.21761262
2015-12-14,173947096.16761264
2015-12-15,175774398.33761263
2015-12-16,178456160.9026126
2015-12-17,175802785.4776126
2015-12-18,172588251.17761263
2015-12-21,173946406.7026126
2015-12-22,175419535.31261262
2015-12-23,177452789.01011267
2015-12-24,177139771.57011262
2015-12-28,176838876.17011264
2015-12-29,178816577.30011263
2015-12-30,177556264.0501126
2015-12-31,175773562.04511264
2016-01-04,172915078.30511266
2016-01-05,173261843.84511268
2016-01-06,171230420.94511265
2016-01-07,167070758.41511267
2016-01-08,165292156.33011267
2016-01-11,165768652.04511267
2016-01-12,167140482.76511267
2016-01-13,162952901.79511264
2016-01-14,165743823.78511265
2016-01-15,162037185.53511268
