Symbol,Year
GE,2018
GIS,2018
GM,2018
GPC,2018
GILD,2018
GPN,2018
GS,2018
GT,2018
GWW,2018
HAL,2018
HBI,2018
HOG,2018
HRS,2018
HIG,2018
HAS,2018
HCA,2018
HCP,2018
HP,2018
HSIC,2018
HSY,2018
HES,2018
HPE,2018
HLT,2018
HFC,2018
HOLX,2018
HD,2018
HON,2018
HRL,2018
HST,2018
HPQ,2018
HUM,2018
HBAN,2018
HII,2018
IDXX,2018
INFO,2018
ITW,2018
ILMN,2018
IR,2018
INTC,2018
ICE,2018
IBM,2018
INCY,2018
IP,2018
IPG,2018
IFF,2018
INTU,2018
ISRG,2018
IVZ,2018
IPGP,2018
IQV,2018
IRM,2018
JKHY,2018
JEC,2018
JBHT,2018
JEF,2018
SJM,2018
JNJ,2018
JCI,2018
JPM,2018
JNPR,2018
KSU,2018
K,2018
KEY,2018
KEYS,2018
KMB,2018
KIM,2018
KMI,2018
KLAC,2018
KSS,2018
KHC,2018
KR,2018
LB,2018
LLL,2018
LH,2018
LRCX,2018
LW,2018
LEG,2018
LEN,2018
LLY,2018
LNC,2018
LIN,2018
LKQ,2018
LMT,2018
L,2018
LOW,2018
LYB,2018
MTB,2018
MAC,2018
M,2018
MRO,2018
MPC,2018
MAR,2018
MMC,2018
MLM,2018
MAS,2018
MA,2018
MAT,2018
MKC,2018
MXIM,2018
MCD,2018
MCK,2018
MDT,2018
MRK,2018
MET,2018
MTD,2018
MGM,2018
KORS,2018
MCHP,2018
MU,2018
MSFT,2018
MAA,2018
MHK,2018
TAP,2018
MDLZ,2018
MNST,2018
MCO,2018
MS,2018
MOS,2018
MSI,2018
MSCI,2018
MYL,2018
NDAQ,2018
NOV,2018
NKTR,2018
NTAP,2018
NFLX,2018
NWL,2018
NFX,2018
NEM,2018
NWSA,2018
NWS,2018
NEE,2018
NLSN,2018
NKE,2018
NI,2018
NBL,2018
JWN,2018
NSC,2018
NTRS,2018
NOC,2018
NCLH,2018
NRG,2018
NUE,2018
NVDA,2018
ORLY,2018
OXY,2018
OMC,2018
OKE,2018
ORCL,2018
PCAR,2018
PKG,2018
PH,2018
PAYX,2018
PYPL,2018
PNR,2018
PBCT,2018
PEP,2018
PKI,2018
PRGO,2018
PFE,2018
PCG,2018
PM,2018
PSX,2018
PNW,2018
PXD,2018
PNC,2018
RL,2018
PPG,2018
PPL,2018
PFG,2018
PG,2018
PGR,2018
PLD,2018
PRU,2018
PEG,2018
PSA,2018
PHM,2018
PVH,2018
QRVO,2018
PWR,2018
QCOM,2018
DGX,2018
RJF,2018
RTN,2018
O,2018
RHT,2018
REG,2018
REGN,2018
RF,2018
RSG,2018
RMD,2018
RHI,2018
ROK,2018
ROL,2018
ROP,2018
ROST,2018
RCL,2018
CRM,2018
SBAC,2018
SCG,2018
SLB,2018
STX,2018
SEE,2018
SRE,2018
SHW,2018
SPG,2018
SWKS,2018
SLG,2018
SNA,2018
SO,2018
LUV,2018
SPGI,2018
SWK,2018
SBUX,2018
STT,2018
SYK,2018
STI,2018
SIVB,2018
SYMC,2018
SYF,2018
SNPS,2018
SYY,2018
TROW,2018
TTWO,2018
TPR,2018
TGT,2018
TEL,2018
FTI,2018
TXN,2018
TXT,2018
TMO,2018
TIF,2018
TWTR,2018
TJX,2018
TMK,2018
TSS,2018
TSCO,2018
TDG,2018
TRV,2018
TRIP,2018
FOXA,2018
FOX,2018
TSN,2018
UDR,2018
ULTA,2018
USB,2018
UAA,2018
UA,2018
UNP,2018
UAL,2018
UNH,2018
UPS,2018
URI,2018
UTX,2018
UHS,2018
UNM,2018
VFC,2018
VLO,2018
VAR,2018
VTR,2018
VRSN,2018
VRSK,2018
VZ,2018
VRTX,2018
VIAB,2018
V,2018
VNO,2018
VMC,2018
WMT,2018
WBA,2018
DIS,2018
WM,2018
WAT,2018
WEC,2018
WCG,2018
WFC,2018
WELL,2018
WDC,2018
WU,2018
WRK,2018
WY,2018
WHR,2018
WMB,2018
WLTW,2018
WYNN,2018
XEL,2018
XRX,2018
XLNX,2018
XYL,2018
YUM,2018
ZBH,2018
ZION,2018
ZTS,2018
MMM,2017
ABT,2017
ABBV,2017
ACN,2017
ATVI,2017
AYI,2017
ADBE,2017
AMD,2017
AAP,2017
AES,2017
AET,2017
AMG,2017
AFL,2017
A,2017
APD,2017
AKAM,2017
ALK,2017
ALB,2017
ARE,2017
ALXN,2017
ALGN,2017
ALLE,2017
AGN,2017
ADS,2017
LNT,2017
ALL,2017
GOOGL,2017
GOOG,2017
MO,2017
AMZN,2017
AEE,2017
AAL,2017
AEP,2017
AXP,2017
AIG,2017
AMT,2017
AWK,2017
AMP,2017
ABC,2017
AME,2017
AMGN,2017
APH,2017
APC,2017
ADI,2017
ANDV,2017
ANSS,2017
ANTM,2017
AON,2017
AOS,2017
APA,2017
AIV,2017
AAPL,2017
AMAT,2017
APTV,2017
ADM,2017
ARNC,2017
AJG,2017
AIZ,2017
T,2017
ADSK,2017
ADP,2017
AZO,2017
AVB,2017
AVY,2017
BHGE,2017
BLL,2017
BAC,2017
BK,2017
BCR,2017
BAX,2017
BBT,2017
BDX,2017
BRK.B,2017
BBY,2017
BIIB,2017
BLK,2017
HRB,2017
BA,2017
BWA,2017
BXP,2017
BSX,2017
BHF,2017
BMY,2017
AVGO,2017
BF.B,2017
CHRW,2017
CA,2017
COG,2017
CDNS,2017
CPB,2017
COF,2017
CAH,2017
CBOE,2017
KMX,2017
CCL,2017
CAT,2017
CBG,2017
CBS,2017
CELG,2017
CNC,2017
CNP,2017
CTL,2017
CERN,2017
CF,2017
SCHW,2017
CHTR,2017
CHK,2017
CVX,2017
CMG,2017
CB,2017
CHD,2017
CI,2017
XEC,2017
CINF,2017
CTAS,2017
CSCO,2017
C,2017
CFG,2017
CTXS,2017
CLX,2017
CME,2017
CMS,2017
KO,2017
CTSH,2017
CL,2017
CMCSA,2017
CMA,2017
CAG,2017
CXO,2017
COP,2017
ED,2017
STZ,2017
COO,2017
GLW,2017
COST,2017
COTY,2017
CCI,2017
CSRA,2017
CSX,2017
